"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6SZ8R25A","blogPost","","Thomas Halleck","We Spend More Time On Smartphones Than Traditional PCs: Nielsen","Internatioanl Business Times","","","","http://www.ibtimes.com/we-spend-more-time-smartphones-traditional-pcs-nielsen-1557807","","","2015-05-01 21:50:16","2015-05-01 21:52:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86T2ZW64","webpage","","","Android development tutorials","Vogella","","","","http://www.vogella.com/tutorials/android.html","","","2015-05-01 22:09:09","2015-05-01 22:09:48","2015-02-03","","","","","","","","","","","","","","","","Tutorial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9EJFJC3S","blogPost","","Tek Eye","List of IDEs for Android App Development, Which is Best for You?","Tek Eye","","","","http://tekeye.biz/2014/list-of-android-app-development-ides","","","2015-05-01 22:01:00","2015-05-01 22:01:40","2015-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGIEVZPT","webpage","","","Google Android developer training","Google","","","","https://developer.android.com/training/index.html","","","2015-05-01 21:56:40","2015-05-01 22:15:08","2015-01-28","","","","","","","","","","","","","","","","Tutorial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJBU4XNK","forumPost","","","Java - Singletons vs. Application Context in Android?","","","","","http://stackoverflow.com/questions/3826905/singletons-vs-application-context-in-android","","","2015-05-01 22:16:49","2015-05-01 22:17:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BZN3ANIX","webpage","","","Android best practices","GitHub","","","","https://github.com/futurice/android-best-practices","","","2015-05-01 22:03:31","2015-05-01 22:15:43","2015-02-06","","","","","","","","","","","","","","","","Respository","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E9MZZB8Q","webpage","","","Google Android dashboard - software version/hardware distribution","Google","","","","https://developer.android.com/about/dashboards/index.html","","","2015-05-01 22:15:48","2015-05-01 22:16:28","2015-03-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3QQWPK4","webpage","","","Learn OpenGL ES","Learn OpenGL ES","","","","http://www.learnopengles.com/","","","2015-05-01 22:08:13","2015-05-01 22:15:19","2015-02-01","","","","","","","","","","","","","","","","Tutorial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQS386ZT","book","1999","L L Constantine","Software for Use: A Practical Guide to the Models and Methods of Usage-Centered Design","","","","","","","1999","2015-05-01 22:17:31","2015-05-01 22:18:22","2015-02-14","","","","","","","","","","","","Addison Wesley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IUC8AKK3","webpage","2004","","Javadoc documentation","Oracle","","","","http://www.oracle.com/technetwork/java/javase/documentation/index-jsp-135444.html","","2004","2015-05-01 22:18:31","2015-05-01 22:19:17","2015-04-01","","","","","","","","","","","","","","","","API","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGB365X4","film","1999","Lana Wachowski, Andrew Wachowski","The Matrix","","","","","","","1999","2015-05-01 22:20:02","2015-05-01 22:20:38","","","","","","","","","","","","","","","","","Science fiction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MX6ENQPV","book","1994","Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides","Design Patterns: Elements of Reusable Object-Oriented Software","","","","","","","1994","2015-05-01 22:02:35","2015-05-01 22:03:20","2015-02-15","","","","","","","","","","","","Addison Wesley","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
